word;weight;number_of_words
penjahat;-4;1
penjara;-4;1
penolakan;-4;1
pensiun;-1;1
penting;3;1
penuh;3;1
penyakit;-4;1
penyalahgunaan;-4;1
penyembah;-1;1
penyerangan;-4;1
penyesalan;2;1
penyihir;-4;1
penyiksaan;-4;1
penyitaan;-4;1
penyok;-4;1
penyusutan;-3;1
peperangan;-4;1
perampok;-4;1
perang;-4;1
perangkap;-4;1
perbesaran;-1;1
perbudakan;-4;1
percaya;4;1
perceraian;-4;1
percuma;-4;1
perdamaian;5;1
perfeksionis;-2;1
pergolakan;-3;1
perhatian;3;1
perih;-4;1
perintah;-2;1
perjuangan;4;1
perkara;-2;1
perkelahian;-4;1
perkosaan;-4;1
permusuhan;-4;1
persaingan;-2;1
perselisihan;-4;1
perseteruan;-4;1
pertempuran;-3;1
pertengkaran;-4;1
pertunangan;4;1
perubahan;4;1
perusak;-4;1
perzinahan;-5;1
pesat;3;1
pesimis;-4;1
pesona;4;1
petcah;5;1
picik;-4;1
pidana;-3;1
pikun;-3;1
pincang;-3;1
pingsan;-2;1
pintar;4;1
pionir;3;1
pisau;-1;1
popularitas;-1;1
populer;4;1
positif;4;1
potong;-1;1
prahara;-4;1
prestasi;2;1
produktif;4;1
propaganda;-3;1
proporsional;4;1
protes;-2;1
provokasi;-4;1
puas;3;1
pujian;4;1
pukulan;-4;1
punah;-4;1
pura-pura;-4;1
pusing;-3;1
racun;-4;1
radang;-3;1
radian;-1;1
radikal;-4;1
ragu-ragu;-3;1
rahasia;-1;1
